ars_price_day,p_host_response_rate,n_accommodates,n_bathrooms,n_review_scores_rating,n_number_of_reviews,n_reviews_per_month,n_minimum_nights,n_beds,n_days_since,d_free_parking,d_cloth_storage,d_sound_system,d_children,d_barbecue,d_cooking,d_amendities,d_ac,d_baby_utilities,d_bath,d_location,d_bike,d_security,d_mandatory_cleaning,d_coffee_maker,d_fridge,d_office,d_laundry,d_wifi,d_eletric_car_charger,d_videogame,d_garden_balcony_backyard,d_luggage_storage,d_paid_parking,d_pets,d_swimming_pool,d_self_checkin,d_sauna,d_smoking,d_instant_bookable,f_neighbourhood_cleansed,f_property_type,price,id,ln_price,n_accommodates2,ln_accommodates,ln_accommodates2,ln_beds,f_bathroom,ln_number_of_reviews,f_number_of_reviews,ln_days_since,ln_days_since2,ln_days_since3,n_days_since2,n_days_since3,ln_review_scores_rating,ln_n_minimum_nights,f_minimum_nights,ln_n_reviews_per_month
2166,0,4,1,93,55,0.49,3,1,3337,1,0,0,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,Caballito,Entire apartment,"$2,166.00",91063,7.680637427560936,16,1.3862943611198906,1.9218120556728056,0,1,4.02535169073515,2,8.112827478751374,65.81796969998338,533.9698331776505,11135569,37159393753,4.532599493153256,1.0986122886681098,3,-0.7133498878774648
4165,NA,4,1,100,2,0.17,20,3,351,1,0,0,1,0,1,1,1,1,1,0,0,1,0,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,1,Palermo,Entire apartment,"$4,165.00",92228,8.334471554600944,16,1.3862943611198906,1.9218120556728056,1.0986122886681098,1,1.0986122886681098,1,5.860786223465865,34.34881515716728,201.3110626655015,123201,43243551,4.605170185988092,2.995732273553991,3,-1.7719568419318752
6664,100,3,1,91,96,0.83,2,1,3475,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,Palermo,Entire apartment,"$6,664.00",92689,8.804475183846678,9,1.0986122886681098,1.206948960812582,0,1,4.574710978503383,2,8.1533497579988925,66.4771122762606,542.0111472901145,12075625,41962796875,4.51085950651685,0.6931471805599453,2,-0.18632957819149348
4581,50,3,1,NA,0,NA,15,2,NA,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,Retiro,Entire apartment,"$4,581.00",96257,8.429672593886743,9,1.0986122886681098,1.206948960812582,0.6931471805599453,1,0,0,NA,NA,NA,NA,NA,NA,2.70805020110221,3,NA
6801,89,5,2,87,35,0.44,4,3,2404,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,Retiro,Entire apartment,"$6,801.00",96810,8.824824939175638,25,1.6094379124341003,2.5902903939802346,1.0986122886681098,2,3.58351893845611,1,7.784889295655098,60.604501345605335,471.799333793918,5779216,13893235264,4.465908118654584,1.3862943611198906,3,-0.8209805520698302
3094,NA,2,1.5,97,9,0.09,7,2,3160,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,San Nicolas,Entire apartment,"$3,094.00",97043,8.037220031133012,4,0.6931471805599453,0.4804530139182014,0.6931471805599453,1,2.302585092994046,1,8.058327306580958,64.93663897998832,523.2806910900293,9985600,31554496000,4.574710978503383,1.9459101490553132,3,-2.4079456086518722
4831,100,4,2,80,16,0.15,5,4,3174,0,0,0,1,0,1,1,1,1,1,0,0,1,0,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,1,Recoleta,Entire apartment,"$4,831.00",99362,8.482808764554406,16,1.3862943611198906,1.9218120556728056,1.3862943611198906,2,2.833213344056216,1,8.062747901086354,65.0079037164724,524.1423392440116,10074276,31975752024,4.382026634673881,1.6094379124341003,3,-1.8971199848858813
1900,100,4,1,87,23,0.23,1,6,2957,1,0,0,0,0,1,1,1,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,San Nicolas,Entire apartment,"$1,900.00",100080,7.549609165154532,16,1.3862943611198906,1.9218120556728056,1.791759469228055,1,3.1780538303479458,1,7.9919305198524775,63.87095343414949,510.4522220824557,8743849,25855561493,4.465908118654584,0,1,-1.4696759700589417
1833,100,3,1,90,75,0.83,6,3,2724,1,0,0,0,1,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,0,1,0,1,0,0,0,0,Palermo,Entire apartment,"$1,833.00",108089,7.513709247839705,9,1.0986122886681098,1.206948960812582,1.0986122886681098,1,4.330733340286331,2,7.909856667269403,62.565832496746225,494.8867673176488,7420176,20212559424,4.499809670330265,1.791759469228055,3,-0.18632957819149348
4046,100,2,1,95,120,1.05,3,1,3431,1,0,0,0,0,1,1,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,Palermo,Entire apartment,"$4,046.00",111501,8.305484017727691,4,0.6931471805599453,0.4804530139182014,0,1,4.795790545596741,2,8.14060704285845,66.2694830262366,539.4738202499702,11771761,40388911991,4.553876891600541,1.0986122886681098,3,0.04879016416943205
